"genus_species","genus","family","class","order","kingdom","db","db_code","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","longevity_y","male_maturity_d","female_body_mass_g","male_body_mass_g","unsexed_body_mass_g","female_body_mass_at_maturity_g","growth_rate","unk_body_mass_g","wing_length_mm","trophic_level","trophic_niche","min_latitude_deg","max_latitude_deg","range_size_km2","body_length_mm","qualitative_body_size","trophic_guild","population_density_n_per_ha","male_wing_length_mm","female_wing_length_mm","unsexed_wing_length_mm","unsexed_body_length_cm","mean_unsexed_wing_length_mm","mean_male_wing_length_mm","mean_female_wing_length_mm","litter_or_clutch_size_n_min","litter_or_clutch_size_n_max","litter_or_clutch_size_n_mean","maturity_d","median_dispersal_distance_km","maximum_dispersal_distance_km","primary_source"
"Accipiter rufiventris","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480609",NA,3,NA,198,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter striatus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:9740253",547.875,4.25,1,138.5,19.9,NA,NA,12.58333333,365,174,103,138.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter tachiro","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480635",NA,2.45,1.5,298.5,NA,NA,NA,NA,NA,340.5,203.5,341.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter trivirgatus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480603",NA,2,NA,276,NA,NA,NA,NA,NA,353,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Accipiter virgatus","Accipiter","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480595",NA,3.5,NA,113.5,NA,NA,NA,NA,NA,141.5,101.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aquila chrysaetos","Aquila","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480506",1460,2,1,4383,48,NA,NA,32,1460,4692.25,3708.25,3640.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aquila heliaca","Aquila","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480500",1635.606,2.5,1,3262,56,NA,NA,56,NA,3845,2949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aquila rapax","Aquila","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480514",1453.872,2,1,2347,42.5,NA,NA,40.3,NA,2405.5,2034.6,2486.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aquila spilogaster","Aquila","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:6066199",1453.872,2,1,1413.833333,NA,NA,NA,NA,NA,1631,1318,1420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aviceda cuculoides","Aviceda","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480705",NA,2,1,275.75,NA,NA,NA,NA,NA,NA,NA,275.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Aviceda subcristata","Aviceda","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480707",NA,2.5,NA,328,NA,NA,NA,NA,NA,346.875,308.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Butastur indicus","Butastur","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480477",726.936,3,NA,402,8.5,NA,NA,8.5,NA,433,400.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo albonotatus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480541",NA,2,NA,757,NA,NA,NA,NA,NA,886,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo brachyurus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480553",726.936,2,NA,495,NA,NA,NA,NA,NA,583,432.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo buteo","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480537",910.202,3,1,878.25,28.8,NA,NA,25.33666667,730,945.75,781,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo jamaicensis","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480542",730,2.75,1,1126,30.66666667,NA,NA,25.5,730,1224,1028,1053.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo lagopus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480524",728.468,4,1,945.5,18.8,NA,NA,17.9,730,1051.5,847,951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo lineatus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480529",545.968,3.2,1,616,22.41666667,NA,NA,20,365,676.75,539,641.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo oreophilus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480536",NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo platypterus","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480538",584.4,2.5,1,437,18.33333333,NA,NA,16.32,365,490,420,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo regalis","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480566",730,3.75,1,1469.5,23.7,NA,NA,20,730,1775,1162.5,1469.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteo swainsoni","Buteo","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480562",730,2.5,1,969.57,24.08333333,NA,NA,16,730,1109,811.25,958.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Buteogallus anthracinus","Buteogallus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480651",730,1.5,1,996,13.5,NA,NA,13.5,730,1199,793,972.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circaetus cinereus","Circaetus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480665",NA,1,NA,2048,6.8,NA,NA,6.8,NA,NA,NA,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circaetus fasciolatus","Circaetus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480663",NA,1,NA,1021.5,NA,NA,NA,NA,NA,1100,938.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circus aeruginosus","Circus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480482",819.335,4.75,1,607,20.1,NA,NA,18.2,730,741.5,552.5,584.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circus approximans","Circus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:5229172",NA,3.77,NA,752.5,18,NA,NA,17.25,NA,870,640,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circus assimilis","Circus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:5229176",NA,3,NA,521.25,NA,NA,NA,NA,NA,654.25,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
"Circus cyaneus","Circus","Accipitridae","Aves","Accipitriformes","Animalia","gbif","GBIF:2480487",584.4,4.5,1,436.5,17.1,NA,NA,16.74983333,365,522.5,346,436.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amniota"
