reported_name,reported_name_fixed,scientificName,kingdom,phylum,class,order,family,db,db_code,ObservationType,Source,Field,DispersalDistance,Code,Database,Unit,Sex,Study duration (days),Comments
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),4407,MeanDispersalDistance,Comte & Olden,m,NA,11.3,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Rusak & Mosindy 1997,Mean_dispersal_distance_(m),5173,MeanDispersalDistance,Comte & Olden,m,NA,7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Rusak & Mosindy 1997,Mean_dispersal_distance_(m),7800,MeanDispersalDistance,Comte & Olden,m,NA,15,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Trested et al. 2011,Mean_dispersal_distance_(m),10881,MeanDispersalDistance,Comte & Olden,m,NA,11.7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402120,radio-tracking,Huddleston 2006,Mean_dispersal_distance_(m),20028.24,MeanDispersalDistance,Comte & Olden,m,NA,12.04,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser oxyrinchus,Acipenser oxyrinchus,Acipenser oxyrinchus,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:4287132,radio-tracking,Moser & Ross 1995,Mean_dispersal_distance_(m),37375,MeanDispersalDistance,Comte & Olden,m,NA,2.58,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,gbif,GBIF:2402122,mark-release-recapture,Hoefs 2004,Mean_dispersal_distance_(m),11252.94,MeanDispersalDistance,Comte & Olden,m,NA,50.4,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,Animalia,Chordata,NA,Clupeiformes,Clupeidae,gbif,GBIF:2412661,radio-tracking,Bailey et al. 2004,Mean_dispersal_distance_(m),8397.44,MeanDispersalDistance,Comte & Olden,m,NA,2.5,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,Animalia,Chordata,NA,Clupeiformes,Clupeidae,gbif,GBIF:2412661,radio-tracking,Bailey et al. 2004,Mean_dispersal_distance_(m),12239.58,MeanDispersalDistance,Comte & Olden,m,NA,2.5,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,NA,Perciformes,Centrarchidae,gbif,GBIF:2394514,mark-release-recapture,Gatz & Adams 1994,Mean_dispersal_distance_(m),68.41,MeanDispersalDistance,Comte & Olden,m,NA,91.5,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
