"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Aepyceros melampus","Aepyceros melampus","Aepyceros melampus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","gbif","GBIF:2441144","individual movement distance","78","Value","1.2","MeanDispersalDistance","Whitmee & Orme 2013","km","Male","movement study"
"Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975","seed dispersal (field)","Müller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)","2.9","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Picea abies","Picea abies","Picea abies","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284884","seed dispersal (field)","Müller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)","60","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Maximum_recorded_dispersal_distance_(m)","3.25","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Dendromecon rigida","Dendromecon rigida","Dendromecon rigida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888424","seed dispersal (field)","Carney et al. 2003","Maximum_recorded_dispersal_distance_(m)","0.06","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed dispersal (field)","Abbott & Quink 1970","Maximum_recorded_dispersal_distance_(m)","30","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572","seed dispersal (field)","McEvoy & Cox 1987","Maximum_recorded_dispersal_distance_(m)","7","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Viola odorata","Viola odorata","Viola odorata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331181","seed dispersal (field)","Beattie & Lyons 1975","Maximum_recorded_dispersal_distance_(m)","0.02","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Viola pubescens subsp. scabriuscula","Viola pubescens","Viola pubescens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331338","seed dispersal (field)","Culver & Beattie 1978","Maximum_recorded_dispersal_distance_(m)","1.08","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Chloris virgata","Chloris virgata","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289624","seed dispersal (model)","Ernst et al. 1992","Maximum_recorded_dispersal_distance_(m)","5.56","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
