"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","kingdom","phylum","class","order","family","Group","LifeSpanYears","AgeAtMaturityDays","YearOfMaturity","MaxDispersalPotentialKmY","MaxDispersalPotentialmY","MaxDispersalDistancem","lag","raw_lag","expect_tracking","expected_lag","annual_dispersal_pot","climate_velocity"
"MaxDispersalDistance","Aegithalos caudatus",24.9,"Aegithalos","North","Terrestrial","Elevation","Centroid",-2.212765957,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",16,2153,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",16,-0.855258794583507,"Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Birds",11.1,NA,NA,2.24324324324324,2243.24324324324,24900,-13.9811433745835,-15.338650537,"Yes",2230.11735866324,2243.24324324324,13.12588458
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",1.191489362,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",18,2520,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",18,0.0812226500269462,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Birds",22,NA,NA,16.1363636363636,16136.3636363636,355000,-13.0446619299731,-11.934395218,"Yes",16123.2377517836,16136.3636363636,13.12588458
"MaxDispersalDistance","Sylvia atricapilla",117,"Sylvia","North","Terrestrial","Elevation","Centroid",0.127659574,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",21,1752,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",21,-0.291003033440269,"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Birds",14,NA,NA,8.35714285714286,8357.14285714286,117000,-13.4168876134403,-12.998225006,"Yes",8344.01697256286,8357.14285714286,13.12588458
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",2.808510638,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",23,2158,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",23,0.530939176099414,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",14.6,NA,NA,32.1917808219178,32191.7808219178,470000,-12.5949454039006,-10.317373942,"Yes",32178.6549373378,32191.7808219178,13.12588458
"MaxDispersalDistance","Sitta europaea",24.1,"Sitta","North","Terrestrial","Elevation","Centroid",-0.595744681,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",24,1795,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",24,-0.409382007575826,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Birds",13,NA,NA,1.85384615384615,1853.84615384615,24100,-13.5352665875758,-13.721629261,"Yes",1840.72026926615,1853.84615384615,13.12588458
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",-6.5,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",26,1811,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",26,-1.64454176780915,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",14.6,NA,NA,32.1917808219178,32191.7808219178,470000,-10.7637953318091,-15.619253564,"Yes",32182.6615683538,32191.7808219178,9.119253564
"MaxDispersalDistance","Erithacus rubecula",79.8,"Erithacus","North","Terrestrial","Elevation","Centroid",-2.75,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",28,2409,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",28,-0.849918269277265,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Birds",19.33333333,NA,NA,4.1275862076082,4127.5862076082,79800,-9.96917183327726,-11.869253564,"Yes",4118.4669540442,4127.5862076082,9.119253564
"MaxDispersalDistance","Garrulus glandarius",19,"Garrulus","North","Terrestrial","Elevation","Centroid",-1,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",29,2045,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",29,-0.284422515840266,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Birds",17.91666667,NA,NA,1.06046511608177,1060.46511608177,19000,-9.40367607984026,-10.119253564,"Yes",1051.34586251777,1060.46511608177,9.119253564
"MaxDispersalDistance","Parus major",41.1,"Parus","North","Terrestrial","Elevation","Centroid",-0.571428571,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",30,2411,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",30,-0.258783711858959,"Animalia","Chordata","Aves","Passeriformes","Paridae","Birds",15.417,NA,NA,2.66588830511773,2665.88830511773,41100,-9.37803727585896,-9.690682135,"Yes",2656.76905155373,2665.88830511773,9.119253564
"MaxDispersalDistance","Fringilla coelebs",22.6,"Fringilla","North","Terrestrial","Elevation","Centroid",-2.642857143,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",31,2412,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",31,-0.759303344472221,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Birds",29,NA,NA,0.779310344827586,779.310344827586,22600,-9.87855690847222,-11.762110707,"Yes",770.191091263586,779.310344827586,9.119253564
