"Code","Species","MaxDispersalDistanceKm","Genus","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","StartF","AreaF","NtaxaF","IDn","corrected_shift","scientificName","kingdom","phylum","class","order","family","ObservationTypeGeneral","Group"
"MaxDispersalDistance","Poecile montanus",15.2,"Poecile","North","Terrestrial","Elevation","Centroid",4.085106383,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",15,1828,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",15,0.828110384648667,"Parus montanus","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
"MaxDispersalDistance","Aegithalos caudatus",24.9,"Aegithalos","North","Terrestrial","Elevation","Centroid",-2.212765957,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",16,2153,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",16,-0.855258794583507,"Aegithalos caudatus","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","movement study","Birds"
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",1.191489362,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",18,2520,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",18,0.0812226500269462,"Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","natal dispersal","Birds"
"MaxDispersalDistance","Turdus merula",355,"Turdus","North","Terrestrial","Elevation","Centroid",1.191489362,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",18,2520,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",18,0.0812226500269462,"Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","movement study","Birds"
"MaxDispersalDistance","Sylvia atricapilla",117,"Sylvia","North","Terrestrial","Elevation","Centroid",0.127659574,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",21,1752,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",21,-0.291003033440269,"Sylvia atricapilla","Animalia","Chordata","Aves","Passeriformes","Sylviidae","movement study","Birds"
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",2.808510638,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",23,2158,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",23,0.530939176099414,"Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Birds"
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",2.808510638,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",23,2158,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",23,0.530939176099414,"Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
"MaxDispersalDistance","Sitta europaea",24.1,"Sitta","North","Terrestrial","Elevation","Centroid",-0.595744681,13.12588458,NA,"m/year",6.69444,0.438883227271003,"OCCUR","TWO","FINE","NO","RESURVEYED",24,1978,-2.91956853165793,"endo",1,"A1_P1",24,1795,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",24,-0.409382007575826,"Sitta europaea","Animalia","Chordata","Aves","Passeriformes","Sittidae","movement study","Birds"
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",-6.5,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",26,1811,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",26,-1.64454176780915,"Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","natal dispersal","Birds"
"MaxDispersalDistance","Cyanistes caeruleus",470,"Cyanistes","North","Terrestrial","Elevation","Centroid",-6.5,9.119253564,NA,"m/year",9.93889,0.248723086724206,"OCCUR","TWO","FINE","NO","RESURVEYED",17,1973,-3.55301490541608,"endo",1,"A1_P2",26,1811,"(1.97e+03,1.98e+03]","[1.54e-05,4.85]","[1,99]",26,-1.64454176780915,"Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","movement study","Birds"
