"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Larus fuscus","Larus fuscus","49","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus"
"Larus marinus","Larus marinus","29.16666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus marinus"
"Rissa tridactyla","Rissa tridactyla","28.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla"
"Sterna dougallii","Sterna dougallii","25.7","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna paradisaea","Sterna paradisaea","34","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea"
"Actitis macularius","Actitis macularius","12","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"Numenius phaeopus","Numenius phaeopus","16.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus"
"Scolopax minor","Scolopax minor","20.9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","Scolopax minor"
"Mycteria americana","Mycteria americana","27","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Ciconiiformes","Ciconiidae","Mycteria","Mycteria americana"
"Columba oenas","Columba oenas","12.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba oenas"
"Columba palumbus","Columba palumbus","17.66666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus"
"Streptopelia decaocto","Streptopelia decaocto","17.9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto"
"Streptopelia turtur","Streptopelia turtur","13.2","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia turtur"
"Zenaida macroura","Zenaida macroura","31.33333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"Alcedo atthis","Alcedo atthis","21","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","Alcedo atthis"
"Falco columbarius","Falco columbarius","16","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco columbarius"
"Falco mexicanus","Falco mexicanus","20","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco mexicanus"
"Falco peregrinus","Falco peregrinus","25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Falco sparverius","Falco sparverius","17","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius"
"Falco tinnunculus","Falco tinnunculus","23.834","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco tinnunculus"
"Lagopus lagopus","Lagopus lagopus","9","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus lagopus"
"Meleagris gallopavo","Meleagris gallopavo","13","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"Tetrastes bonasia","Tetrastes bonasia","7.25","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Galliformes","Phasianidae","Tetrastes","Tetrastes bonasia"
"Tympanuchus cupido","Tympanuchus cupido","13.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Galliformes","Phasianidae","Tympanuchus","Tympanuchus cupido"
"Gavia immer","Gavia immer","24.08333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer"
"Fulica atra","Fulica atra","32.3","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra"
"Gallinula chloropus","Gallinula chloropus","18.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula chloropus"
"Gallinula chloropus","Gallinula galeata","18.6","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula chloropus"
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","11.83333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus schoenobaenus"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus","14","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus scirpaceus"
"Aegithalos caudatus","Aegithalos caudatus","11.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus"
"Alauda arvensis","Alauda arvensis","10.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis"
"Passerina cyanea","Passerina cyanea","11","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Fringillidae","Passerina","Passerina cyanea"
