"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Procyon lotor","Procyon lotor","21","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor"
"Didelphis virginiana","Didelphis virginiana","7","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
"Trichosurus vulpecula","Trichosurus vulpecula","15.9","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus vulpecula"
"Phascolarctos cinereus","Phascolarctos cinereus","22.1","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus"
"Brachylagus idahoensis","Brachylagus idahoensis","4.325","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Lagomorpha","Leporidae","Brachylagus","Brachylagus idahoensis"
"Lepus americanus","Lepus americanus","8","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus americanus"
"Ochotona princeps","Ochotona princeps","7.316666667","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Lagomorpha","Ochotonidae","Ochotona","Ochotona princeps"
"Microtus californicus","Microtus californicus","2.083333333","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus"
"Microtus oeconomus","Microtus oeconomus","2.166666667","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus oeconomus"
"Microtus pennsylvanicus","Microtus pennsylvanicus","2.908333333","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus pennsylvanicus"
"Myodes gapperi","Myodes gapperi","2.408333333","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes gapperi"
"Neotoma cinerea","Neotoma cinerea","5.825","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma cinerea"
"Peromyscus leucopus","Peromyscus leucopus","8","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus leucopus"
"Peromyscus maniculatus","Peromyscus maniculatus","8.333333333","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus"
"Reithrodontomys megalotis","Reithrodontomys megalotis","3.575","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis"
"Napaeozapus insignis","Napaeozapus insignis","4","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Dipodidae","Napaeozapus","Napaeozapus insignis"
"Thomomys bottae","Thomomys bottae","6.1","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bottae"
"Perognathus parvus","Perognathus parvus","5.8","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus parvus"
"Marmota flaviventris","Marmota flaviventris","21.2","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Marmota flaviventris"
"Otospermophilus beecheyi","Spermophilus beecheyi","5.408333333","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Sciuridae","Otospermophilus","Otospermophilus beecheyi"
"Urocitellus beldingi","Spermophilus beldingi","11","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus beldingi"
"Tamias amoenus","Tamias amoenus","5.166666667","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias amoenus"
"Tamias striatus","Tamias striatus","9.5","amphibio","maximum_longevity_y","yrs","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias striatus"
"Coronella austriaca","Coronella austriaca","1.3","amphibio","maximum_longevity_y","yrs","Chordata","Lepidosauria","Squamata","Colubridae","Coronella","Coronella austriaca"
"Zootoca vivipara","Zootoca vivipara","4.991666667","amphibio","maximum_longevity_y","yrs","Chordata","Lepidosauria","Squamata","Lacertidae","Zootoca","Zootoca vivipara"
"Natrix natrix","Natrix natrix","20","amphibio","maximum_longevity_y","yrs","Chordata","Lepidosauria","Squamata","Colubridae","Natrix","Natrix natrix"
"Vipera berus","Vipera berus","19","amphibio","maximum_longevity_y","yrs","Chordata","Lepidosauria","Squamata","Viperidae","Vipera","Vipera berus"
"Leuconotopicus borealis","Picoides borealis","16.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides borealis"
"Alytes obstetricans","Alytes obstetricans","55","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes obstetricans"
"Epidalea calamita","Epidalea calamita","100","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Bufonidae","Epidalea","Epidalea calamita"
"Eleutherodactylus coqui","Eleutherodactylus coqui","52","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus","Eleutherodactylus coqui"
"Xenopus laevis","Xenopus laevis","147","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis"
"Rana iberica","Rana iberica","70","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Ranidae","Rana","Rana iberica"
"Rana temporaria","Rana temporaria","110","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Anura","Ranidae","Rana","Rana temporaria"
"Plethodon glutinosus","Plethodon glutinosus","206","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon glutinosus"
"Plethodon jordani","Plethodon jordani","184","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon jordani"
"Calotriton asper","Calotriton asper","160","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Calotriton","Calotriton asper"
"Ichthyosaura alpestris","Ichthyosaura alpestris","87.5","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Ichthyosaura","Ichthyosaura alpestris"
"Lissotriton boscai","Lissotriton boscai","100","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton boscai"
"Lissotriton helveticus","Lissotriton helveticus","95","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton helveticus"
"Lissotriton vulgaris","Lissotriton vulgaris","110","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton vulgaris"
"Pleurodeles waltl","Pleurodeles waltl","300","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","Pleurodeles waltl"
"Triturus cristatus","Triturus cristatus","150","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus cristatus"
"Triturus marmoratus","Triturus marmoratus","160","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus marmoratus"
"Chioglossa lusitanica","Chioglossa lusitanica","160","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Chioglossa","Chioglossa lusitanica"
"Salamandra salamandra","Salamandra salamandra","280","amphibio","Longevity_max_y","yrs","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra salamandra"
"Xenopus laevis","Xenopus laevis","30.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis"
"Rana iberica","Rana iberica","8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Anura","Ranidae","Rana","Rana iberica"
"Rana temporaria","Rana temporaria","27","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Anura","Ranidae","Rana","Rana temporaria"
"Plethodon glutinosus","Plethodon glutinosus","20.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon glutinosus"
"Plethodon jordani","Plethodon jordani","19.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon jordani"
"Calotriton asper","Calotriton asper","26","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Calotriton","Calotriton asper"
"Ichthyosaura alpestris","Ichthyosaura alpestris","15","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Ichthyosaura","Ichthyosaura alpestris"
"Lissotriton boscai","Lissotriton boscai","8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton boscai"
"Lissotriton vulgaris","Lissotriton vulgaris","20","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton vulgaris"
"Pleurodeles waltl","Pleurodeles waltl","19.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","Pleurodeles waltl"
"Salamandra salamandra","Salamandra salamandra","24","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra salamandra"
"Triturus cristatus","Triturus cristatus","28","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus cristatus"
"Triturus marmoratus","Triturus marmoratus","25","anAge","Maximum.longevity..yrs.","yrs","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus marmoratus"
"Accipiter cooperii","Accipiter cooperii","20.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"Accipiter gentilis","Accipiter gentilis","22","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Accipiter nisus","Accipiter nisus","20.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus"
"Aquila chrysaetos","Aquila chrysaetos","48","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos"
"Buteo buteo","Buteo buteo","28.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo buteo"
"Buteo jamaicensis","Buteo jamaicensis","30.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis"
"Buteo lineatus","Buteo lineatus","22.4","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"Buteo regalis","Buteo regalis","23.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo regalis"
"Circus cyaneus","Circus cyaneus","17.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus"
"Elanus leucurus","Elanus leucurus","6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus leucurus"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","48","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus"
"Parabuteo unicinctus","Parabuteo unicinctus","25","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Accipitridae","Parabuteo","Parabuteo unicinctus"
"Cathartes aura","Cathartes aura","20.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura"
"Pandion haliaetus","Pandion haliaetus","32","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus"
"Aix sponsa","Aix sponsa","22.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"Anas acuta","Anas acuta","27.4","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta"
"Anas fulvigula","Anas fulvigula","20","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas fulvigula"
"Anas platyrhynchos","Anas platyrhynchos","29.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos"
"Aythya affinis","Aythya affinis","18.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya affinis"
"Branta canadensis","Branta canadensis","42","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis"
"Bucephala clangula","Bucephala clangula","18.4","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Bucephala","Bucephala clangula"
"Cygnus buccinator","Cygnus buccinator","32.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus buccinator"
"Cygnus olor","Cygnus olor","70","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor"
"Lophodytes cucullatus","Lophodytes cucullatus","15.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus"
"Melanitta fusca","Melanitta fusca","21.4","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta fusca"
"Mergus merganser","Mergus merganser","14.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser"
"Apus apus","Apus apus","21.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus"
"Alca torda","Alca torda","42","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda"
"Uria aalge","Uria aalge","42.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge"
"Chlidonias niger","Chlidonias niger","21","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias niger"
"Chroicocephalus ridibundus","Chroicocephalus ridibundus","32.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus ridibundus"
"Hydroprogne caspia","Hydroprogne caspia","30","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia"
"Larus californicus","Larus californicus","30","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus californicus"
"Larus canus","Larus canus","33.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus canus"
"Larus delawarensis","Larus delawarensis","31.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus delawarensis"
"Larus fuscus","Larus fuscus","34.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus"
"Larus marinus","Larus marinus","29.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus marinus"
"Rissa tridactyla","Rissa tridactyla","28.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla"
"Sterna dougallii","Sterna dougallii","25.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna paradisaea","Sterna paradisaea","34","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea"
"Actitis macularius","Actitis macularius","12","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"Numenius phaeopus","Numenius phaeopus","24.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus"
"Scolopax minor","Scolopax minor","20.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","Scolopax minor"
"Mycteria americana","Mycteria americana","27","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Ciconiiformes","Ciconiidae","Mycteria","Mycteria americana"
"Columba oenas","Columba oenas","12.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba oenas"
"Columba palumbus","Columba palumbus","17.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus"
"Streptopelia decaocto","Streptopelia decaocto","17.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto"
"Streptopelia turtur","Streptopelia turtur","13.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia turtur"
"Zenaida macroura","Zenaida macroura","31.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"Alcedo atthis","Alcedo atthis","21","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","Alcedo atthis"
"Falco columbarius","Falco columbarius","12.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco columbarius"
"Falco mexicanus","Falco mexicanus","17.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco mexicanus"
"Falco peregrinus","Falco peregrinus","25","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Falco sparverius","Falco sparverius","17","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius"
"Falco tinnunculus","Falco tinnunculus","23.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco tinnunculus"
"Lagopus lagopus","Lagopus lagopus","9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus lagopus"
"Meleagris gallopavo","Meleagris gallopavo","13","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"Tetrastes bonasia","Tetrastes bonasia","7.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Galliformes","Phasianidae","Tetrastes","Tetrastes bonasia"
"Tympanuchus cupido","Tympanuchus cupido","5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Galliformes","Phasianidae","Tympanuchus","Tympanuchus cupido"
"Gavia immer","Gavia immer","24.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer"
"Fulica atra","Fulica atra","20.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra"
"Gallinula chloropus","Gallinula chloropus","18.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula chloropus"
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","11.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus schoenobaenus"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus","14","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus scirpaceus"
"Aegithalos caudatus","Aegithalos caudatus","11.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus"
"Alauda arvensis","Alauda arvensis","10.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis"
"Passerina cyanea","Passerina cyanea","11","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Passerina","Passerina cyanea"
"Cinclus cinclus","Cinclus cinclus","10.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","Cinclus cinclus"
"Coloeus monedula","Coloeus monedula","20.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula"
"Corvus brachyrhynchos","Corvus brachyrhynchos","20","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos"
"Corvus corax","Corvus corax","69","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
"Corvus corone","Corvus corone","19.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corone"
"Corvus frugilegus","Corvus frugilegus","22.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus frugilegus"
"Garrulus glandarius","Garrulus glandarius","17.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Garrulus","Garrulus glandarius"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","14.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus"
"Perisoreus canadensis","Perisoreus canadensis","19.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis"
"Pica pica","Pica pica","21.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica"
"Emberiza citrinella","Emberiza citrinella","13.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza citrinella"
"Emberiza schoeniclus","Emberiza schoeniclus","12.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza schoeniclus"
"Melospiza melodia","Melospiza melodia","11.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"Passerculus sandwichensis","Passerculus sandwichensis","18","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis"
"Zonotrichia leucophrys","Zonotrichia leucophrys","13.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys"
"Acanthis flammea","Acanthis flammea","12.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea"
"Carduelis carduelis","Carduelis carduelis","27","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis"
"Chloris chloris","Chloris chloris","13.6","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris"
"Fringilla coelebs","Fringilla coelebs","29","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs"
"Linaria cannabina","Linaria cannabina","9.4","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Linaria cannabina"
"Pyrrhula pyrrhula","Pyrrhula pyrrhula","17.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula"
"Delichon urbicum","Delichon urbicum","15","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon urbicum"
"Hirundo rustica","Hirundo rustica","16","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"Petrochelidon fulva","Petrochelidon fulva","12.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon fulva"
"Progne subis","Progne subis","13.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne subis"
"Riparia riparia","Riparia riparia","10","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia"
"Tachycineta bicolor","Tachycineta bicolor","12.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"Molothrus ater","Molothrus ater","16.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater"
"Quiscalus major","Quiscalus major","13.9","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus major"
"Lanius ludovicianus","Lanius ludovicianus","12.5","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius ludovicianus"
"Toxostoma curvirostre","Toxostoma curvirostre","10.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma curvirostre"
"Motacilla alba","Motacilla alba","13.7","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla alba"
"Motacilla cinerea","Motacilla cinerea","8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla cinerea"
"Motacilla flava","Motacilla flava","8.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava"
"Erithacus rubecula","Erithacus rubecula","19.3","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Turdidae","Erithacus","Erithacus rubecula"
"Ficedula hypoleuca","Ficedula hypoleuca","15","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula hypoleuca"
"Muscicapa striata","Muscicapa striata","11.8","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Muscicapa striata"
"Oenanthe oenanthe","Oenanthe oenanthe","10.1","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe oenanthe"
"Phoenicurus phoenicurus","Phoenicurus phoenicurus","10.2","anAge","Maximum.longevity..yrs.","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus"
