"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus schoenobaenus_A113_P2","IUCN",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus schoenobaenus_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus schoenobaenus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus scirpaceus_A113_P2","IUCN",13.7915921020508,16.7099102310476,-7.41734256744385,34.8603843688965
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus scirpaceus_A113_P2","BOTW",13.7915921020508,16.7099102310476,-7.41734256744385,34.8603843688965
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acrocephalus scirpaceus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Actitis hypoleucos_A113_P2","IUCN",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Actitis hypoleucos_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Actitis hypoleucos_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Alauda arvensis_A113_P2","IUCN",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Alauda arvensis_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Alauda arvensis_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Anthus pratensis_A113_P2","IUCN",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Anthus pratensis_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Anthus pratensis_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Anthus trivialis_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Anthus trivialis_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Apus apus_A113_P2","IUCN",11.1042694980448,14.6020320264714,1.67520930767059,29.9854095458984
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Apus apus_A113_P2","BOTW",11.1042694980448,14.6020320264714,1.67520930767059,29.9854095458984
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Apus apus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Buteo buteo_A113_P2","IUCN",11.9991074256275,15.8018146948425,-1.97316962480545,31.8455219268799
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Buteo buteo_A113_P2","BOTW",11.9991074256275,15.8018146948425,-1.97316962480545,31.8455219268799
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Buteo buteo_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Calcarius lapponicus_A113_P2","IUCN",4.26243627071381,0.861610124945621,3.42228097915649,5.01021285057068
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Calcarius lapponicus_A113_P2","BOTW",4.26243627071381,0.861610124945621,3.42228097915649,5.01021285057068
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Calcarius lapponicus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Linaria cannabina_A113_P2","BOTW",12.5039808331309,17.6007821939766,-6.81361637115479,34.3956886291504
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Linaria cannabina_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Chloris chloris_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Chloris chloris_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acanthis flammea_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Acanthis flammea_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Spinus spinus_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Spinus spinus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Carpodacus erythrinus_A113_P2","IUCN",11.9991074256275,15.8018146948425,-1.97316962480545,31.8455219268799
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Carpodacus erythrinus_A113_P2","BOTW",11.9991074256275,15.8018146948425,-1.97316962480545,31.8455219268799
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Carpodacus erythrinus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Certhia familiaris_A113_P2","BOTW",11.8455952913203,15.6645059061303,-1.2465707540512,31.5213668823242
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Certhia familiaris_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Columba oenas_A113_P2","BOTW",13.4132307117636,18.4483772492656,-8.02106876373291,35.3250801086426
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Columba oenas_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Columba palumbus_A113_P2","BOTW",11.9991074256275,15.8018146948425,-1.97316962480545,31.8455219268799
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Columba palumbus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Corvus corax_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Corvus corax_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Corvus cornix_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Cuculus canorus_A113_P2","IUCN",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Cuculus canorus_A113_P2","BOTW",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
"A113_P2","map_110km_gVelLat",11.1326105368548,14.2565439959526,"Cuculus canorus_A113_P2","GBIF occurrence",10.997177994677,14.4908545326802,1.6790554523468,29.9255752563477
