"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Acer campestre_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Achillea millefolium_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Achillea ptarmica_A19_P2","IUCN",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Achillea ptarmica_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Adoxa moschatellina_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Aethusa cynapium_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Agrimonia eupatoria_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Agrostis capillaris_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Agrostis stolonifera_A19_P2","IUCN",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Agrostis stolonifera_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Aira caryophyllea_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Aira praecox_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Ajuga reptans_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alchemilla filicaulis_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alisma plantago-aquatica_A19_P2","IUCN",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alisma plantago-aquatica_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alliaria petiolata_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Allium oleraceum_A19_P2","GBIF occurrence",-0.0635413080453873,0.454855945735861,-0.458278322219848,0.260182535648346
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Allium scorodoprasum_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Allium ursinum_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Allium vineale_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alnus glutinosa_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alopecurus geniculatus_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Alopecurus pratensis_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anacamptis morio_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anacamptis pyramidalis_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Andromeda polifolia_A19_P2","GBIF occurrence",-0.0635413080453873,0.454855945735861,-0.458278322219848,0.260182535648346
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anemone nemorosa_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Angelica sylvestris_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anthoxanthum odoratum_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anthriscus sylvestris_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
"A19_P2","map_110km_gVelLat",-0.0163922041654587,0.454894881779087,"Anthyllis vulneraria_A19_P2","GBIF occurrence",-0.0342734016870197,0.460081971590175,-0.393944716453552,0.387960189580917
