"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Microtus longicaudus_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Microtus montanus_A128_P1","IUCN",0.00369766597030914,0.0557889328344507,-0.0523293890058994,0.0591253966093064
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Neotoma cinerea_A128_P1","IUCN",0.0045665536633017,0.0568403966924954,-0.0530339565128088,0.0610286593437195
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Neotoma macrotis_A128_P1","IUCN",0.00527124629710384,0.0562521755766999,-0.0522749096155166,0.0615093529224396
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Otospermophilus beecheyi_A128_P1","IUCN",0.000470870299260515,0.0407149452744675,-0.0466668237000704,0.0466936230659485
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Peromyscus maniculatus_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Peromyscus truei_A128_P1","IUCN",-0.00115534860699244,0.036286393491968,-0.0442203260958195,0.0397090803831816
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Reithrodontomys megalotis_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Sorex ornatus_A128_P1","IUCN",-0.00372248901565067,0.0349332991796264,-0.0428994752466679,0.0351580929011107
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Sorex palustris_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Sorex trowbridgii_A128_P1","IUCN",0.000361083134817259,0.0380791513074662,-0.0445912271738052,0.0440673738718033
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Tamias quadrimaculatus_A128_P1","GBIF occurrence",0.00246340901634903,0.0412001600101403,-0.0452277913689613,0.0483540177345276
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Tamias speciosus_A128_P1","GBIF occurrence",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Urocitellus beldingi_A128_P1","IUCN",0.00550404261594752,0.0579602133474212,-0.0543963011354208,0.0628421328961849
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Zapus princeps_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Dipodomys heermanni_A128_P1","IUCN",-0.00431331346083253,0.0355510997786408,-0.0445386305451393,0.0355991117656231
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Microtus californicus_A128_P1","IUCN",-0.000312543542848991,0.036408964123042,-0.043253268301487,0.0401848152279854
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Peromyscus boylii_A128_P1","IUCN",0.00592699563679725,0.0753860890092027,-0.0744896866381168,0.0884673073887825
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Callospermophilus lateralis_A128_P1","IUCN",0.00355825214698925,0.0555999776510808,-0.0518457561731338,0.0589251104742289
"A128_P1","map_1km_gVelLat",0.00363722252321439,0.05561968608488,"Chaetodipus californicus_A128_P1","IUCN",0.000504765706569735,0.0363280367421734,-0.0423604615032673,0.0395830869674683
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Microtus longicaudus_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Microtus montanus_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Neotoma cinerea_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Neotoma macrotis_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Otospermophilus beecheyi_A128_P1","IUCN",-0.0441415309906006,0.274988954022342,-0.337191227078438,0.237453407049179
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Peromyscus maniculatus_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Peromyscus truei_A128_P1","IUCN",-0.111044049263,0.289453887139766,-0.358713909983635,0.237632989883423
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Reithrodontomys megalotis_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Sorex ornatus_A128_P1","IUCN",-0.227735921740532,0.109136672187777,-0.28947294652462,-0.165998896956444
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Sorex palustris_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Sorex trowbridgii_A128_P1","IUCN",-0.0441415309906006,0.274988954022342,-0.337191227078438,0.237453407049179
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Tamias quadrimaculatus_A128_P1","GBIF occurrence",-0.0441415309906006,0.274988954022342,-0.337191227078438,0.237453407049179
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Tamias speciosus_A128_P1","GBIF occurrence",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Urocitellus beldingi_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Zapus princeps_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Dipodomys heermanni_A128_P1","IUCN",-0.304907202720642,NA,-0.304907202720642,-0.304907202720642
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Microtus californicus_A128_P1","IUCN",-0.111044049263,0.289453887139766,-0.358713909983635,0.237632989883423
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Peromyscus boylii_A128_P1","IUCN",0.0135450020432472,0.178601548793157,-0.149699622392654,0.105907481908798
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Callospermophilus lateralis_A128_P1","IUCN",-8.34167003631592e-05,0.228840919238559,-0.301770263910294,0.189652079343796
"A128_P1","map_25km_gVelLat",-8.34167003631592e-05,0.228840919238559,"Chaetodipus californicus_A128_P1","IUCN",-0.285382568836212,0.107798371377755,-0.380236592888832,-0.187456592917442
"A128_P1","map_50km_gVelLat",0.809327403704325,0.0279620321442616,"Microtus longicaudus_A128_P1","IUCN",0.819462090730667,0.0307811500198097,0.802049642801285,0.83687453866005
