"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A76_P1","map_110km_gVelLat",-0.178598600704021,0.573270013838995,"Ochotona princeps_A76_P1","IUCN",-0.129456296070095,0.652390190469132,-0.968799901008606,0.601902222633362
"A76_P1","map_1km_gVelLat",-0.00304232042467823,0.0627120155355819,"Ochotona princeps_A76_P1","IUCN",-0.00104874179863833,0.0503347445403484,-0.0492517426609993,0.0444014929234982
"A76_P1","map_25km_gVelLat",-0.0887877404623045,0.395868178629127,"Ochotona princeps_A76_P1","IUCN",-0.0513581772953331,0.345737464466868,-0.51933274269104,0.262667658925056
"A76_P1","map_50km_gVelLat",-0.117219632941695,0.493403150152512,"Ochotona princeps_A76_P1","IUCN",-0.0271910189933676,0.5210425855776,-0.733360767364502,0.600574821233749
"A76_P1","mat_110km_gVelLat",0.20270901982597,0.28196338856068,"Ochotona princeps_A76_P1","IUCN",0.100736347931054,0.232542748976518,-0.161528098583221,0.387160110473633
"A76_P1","mat_1km_gVelLat",0.0202132505162656,0.0940895145886236,"Ochotona princeps_A76_P1","IUCN",0.0129800904921655,0.0808673181915674,-0.0237354561686516,0.0486361384391785
"A76_P1","mat_25km_gVelLat",0.0333172426997473,0.156916459177897,"Ochotona princeps_A76_P1","IUCN",-0.0248516918083624,0.137140794465993,-0.194206607341766,0.129998588562012
"A76_P1","mat_50km_gVelLat",0.105398734329456,0.2044139305184,"Ochotona princeps_A76_P1","IUCN",0.00763897702667495,0.20353860265189,-0.228690229356289,0.255834102630615
"A76_P1","mat_gVelEle_1km",91.4958539718278,105.795485337204,"Ochotona princeps_A76_P1","IUCN",90.7036673206807,104.166335250913,0.959663820266724,261.764813232422
