"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A179_P1","map_1km_gVelLat",0.00161539632792117,0.0262643989178829,"Peromyscus maniculatus_A179_P1","IUCN",0.00160932504481021,0.0262270772836671,-0.0305794280022383,0.0327971428632736
"A179_P1","map_1km_gVelLat",0.00161539632792117,0.0262643989178829,"Peromyscus truei_A179_P1","IUCN",-0.00123794896383119,0.0239910723856257,-0.0307346921414137,0.0273271169513464
"A179_P1","map_25km_gVelLat",-0.0347290613378088,0.165333068464126,"Peromyscus maniculatus_A179_P1","IUCN",-0.0451000133021311,0.169259499500645,-0.243581831455231,0.104233860969543
"A179_P1","map_25km_gVelLat",-0.0347290613378088,0.165333068464126,"Peromyscus truei_A179_P1","IUCN",-0.105523836488525,0.20152558031981,-0.280911058187485,0.127348514273763
"A179_P1","map_50km_gVelLat",-0.0775971384719014,0.093426278091704,"Peromyscus maniculatus_A179_P1","IUCN",-0.114884087815881,0.112953646205427,-0.178780319169164,-0.0509878564625979
"A179_P1","map_50km_gVelLat",-0.0775971384719014,0.093426278091704,"Peromyscus truei_A179_P1","IUCN",-0.114884087815881,0.112953646205427,-0.178780319169164,-0.0509878564625979
"A179_P1","map_gVelEle_1km",103.960129254121,111.330052205743,"Peromyscus maniculatus_A179_P1","IUCN",103.982615332947,111.445586741511,2.56043961048126,266.593298339844
"A179_P1","map_gVelEle_1km",103.960129254121,111.330052205743,"Peromyscus truei_A179_P1","IUCN",105.522888886549,112.917955111793,2.18207216262817,266.133096313477
"A179_P1","mat_1km_gVelLat",0.00154987405414373,0.00830072124643312,"Peromyscus maniculatus_A179_P1","IUCN",0.00159272573154526,0.00826851940125021,-0.00823606923222542,0.0112964525818825
"A179_P1","mat_1km_gVelLat",0.00154987405414373,0.00830072124643312,"Peromyscus truei_A179_P1","IUCN",0.00190340019122892,0.00832803778733675,-0.00819949451833963,0.0116505946964025
"A179_P1","mat_25km_gVelLat",0.0299912110009852,0.0162990492983793,"Peromyscus maniculatus_A179_P1","IUCN",0.0305098062592813,0.0169904351645465,0.0157698690891266,0.0532071702182293
"A179_P1","mat_25km_gVelLat",0.0299912110009852,0.0162990492983793,"Peromyscus truei_A179_P1","IUCN",0.0241582794114947,0.00850497943888917,0.0180202126502991,0.0324348714202642
"A179_P1","mat_50km_gVelLat",0.0351366531103849,0.00892760381957242,"Peromyscus maniculatus_A179_P1","IUCN",0.0275316666811705,0.00147128326124254,0.0266993831843138,0.0283639501780272
"A179_P1","mat_50km_gVelLat",0.0351366531103849,0.00892760381957242,"Peromyscus truei_A179_P1","IUCN",0.0275316666811705,0.00147128326124254,0.0266993831843138,0.0283639501780272
"A179_P1","mat_gVelEle_1km",103.960129254121,111.330052205743,"Peromyscus maniculatus_A179_P1","IUCN",103.982615332947,111.445586741511,2.56043961048126,266.593298339844
"A179_P1","mat_gVelEle_1km",103.960129254121,111.330052205743,"Peromyscus truei_A179_P1","IUCN",105.522888886549,112.917955111793,2.18207216262817,266.133096313477
