"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Centronyx henslowii_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Ammodramus savannarum_A107_P1","BOTW",8.4463575832984,8.54949879656757,-3.00561680793762,16.0081172943115
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Ammodramus savannarum_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Ardea alba_A107_P1","IUCN",11.6993880271912,3.30189348153009,8.04225492477417,15.0791673660278
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Ardea alba_A107_P1","BOTW",11.6993880271912,3.30189348153009,8.04225492477417,15.0791673660278
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Ardea alba_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Baeolophus bicolor_A107_P1","BOTW",12.9459969202677,4.58169330500775,8.13909072875976,17.3637672424316
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Baeolophus bicolor_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Buteo lineatus_A107_P1","BOTW",5.87178130718795,8.93904469984407,-4.21509165763855,15.7810988426209
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Buteo lineatus_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Butorides virescens_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Cardinalis cardinalis_A107_P1","IUCN",12.0647176045638,5.76906451848243,7.05217437744141,16.2255031585693
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Cardinalis cardinalis_A107_P1","BOTW",12.0647176045638,5.76906451848243,7.05217437744141,16.2255031585693
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Cardinalis cardinalis_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Empidonax traillii_A107_P1","IUCN",11.6993880271912,3.30189348153009,8.04225492477417,15.0791673660278
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Empidonax traillii_A107_P1","BOTW",11.6993880271912,3.30189348153009,8.04225492477417,15.0791673660278
"A107_P1","map_110km_gVelLat",5.70605430960655,8.57652547689722,"Empidonax traillii_A107_P1","GBIF occurrence",5.70605430960655,8.57652547689722,-4.19573955535889,15.7522010803223
