"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific"
"A99_P2","map_gVelEle",1.43512200917958,0.96886669033133,"Betula pubescens_A99_P2","GBIF occurrence",1.43535843678057,0.968890210519297
"A99_P2","map_gVelEle",1.43512200917958,0.96886669033133,"Picea abies_A99_P2","IUCN",1.44795682722503,0.982230578196404
"A99_P2","map_gVelEle",1.43512200917958,0.96886669033133,"Picea abies_A99_P2","GBIF occurrence",1.43535843678057,0.968890210519297
"A99_P2","map_gVelEle",1.43512200917958,0.96886669033133,"Pinus sylvestris_A99_P2","GBIF occurrence",1.43535843678057,0.968890210519297
"A99_P2","map_gVelLat",0.000456794856597228,0.0384973321138412,"Betula pubescens_A99_P2","GBIF occurrence",0.000448234901066697,0.0385027523270788
"A99_P2","map_gVelLat",0.000456794856597228,0.0384973321138412,"Picea abies_A99_P2","IUCN",0.000778807336079741,0.040166539014751
"A99_P2","map_gVelLat",0.000456794856597228,0.0384973321138412,"Picea abies_A99_P2","GBIF occurrence",0.000448234901066697,0.0385027523270788
"A99_P2","map_gVelLat",0.000456794856597228,0.0384973321138412,"Pinus sylvestris_A99_P2","GBIF occurrence",0.000448234901066697,0.0385027523270788
"A99_P2","mat_gVelEle",8.93467741409505,0.50052718331288,"Betula pubescens_A99_P2","GBIF occurrence",8.93472947207627,0.500395926558522
"A99_P2","mat_gVelEle",8.93467741409505,0.50052718331288,"Picea abies_A99_P2","IUCN",8.87769293586635,0.52238783308386
"A99_P2","mat_gVelEle",8.93467741409505,0.50052718331288,"Picea abies_A99_P2","GBIF occurrence",8.93472947207627,0.500395926558522
"A99_P2","mat_gVelEle",8.93467741409505,0.50052718331288,"Pinus sylvestris_A99_P2","GBIF occurrence",8.93472947207627,0.500395926558522
"A99_P2","mat_gVelLat",0.0505172259454788,0.361150607373487,"Betula pubescens_A99_P2","GBIF occurrence",0.0506030762732416,0.36119145768136
"A99_P2","mat_gVelLat",0.0505172259454788,0.361150607373487,"Picea abies_A99_P2","IUCN",0.0485696729510326,0.366501819195465
"A99_P2","mat_gVelLat",0.0505172259454788,0.361150607373487,"Picea abies_A99_P2","GBIF occurrence",0.0506030762732416,0.36119145768136
"A99_P2","mat_gVelLat",0.0505172259454788,0.361150607373487,"Pinus sylvestris_A99_P2","GBIF occurrence",0.0506030762732416,0.36119145768136
