"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific","p10_cv_sppspecific","p90_cv_sppspecific"
"A216_P1","sst_110km_gVelLat",0.580227845796832,0.199335840841621,"Scomber scombrus_A216_P1","IUCN",0.580227845796832,0.199335840841621,0.324013835191727,0.823933660984039
"A216_P1","sst_110km_gVelLat",0.580227845796832,0.199335840841621,"Scomber scombrus_A216_P1","GBIF occurrence",0.580227845796832,0.199335840841621,0.324013835191727,0.823933660984039
"A216_P1","sst_25km_gVelLat",0.676494807664395,0.464543308559897,"Scomber scombrus_A216_P1","IUCN",0.675324247601277,0.462016136883143,0.198324957489967,1.37452836036682
"A216_P1","sst_25km_gVelLat",0.676494807664395,0.464543308559897,"Scomber scombrus_A216_P1","GBIF occurrence",0.680978634752052,0.466831675549527,0.198536285758018,1.38566098213196
"A216_P1","sst_50km_gVelLat",0.686247531381937,0.392883204745763,"Scomber scombrus_A216_P1","IUCN",0.68057013791183,0.39037349848882,0.257578417658806,1.22618794441223
"A216_P1","sst_50km_gVelLat",0.686247531381937,0.392883204745763,"Scomber scombrus_A216_P1","GBIF occurrence",0.682427825058921,0.388092174018691,0.257948008179665,1.22088046073914
