"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific"
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus schoenobaenus_A113_P1","IUCN",0.477554562731308,0.939957924527629
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus schoenobaenus_A113_P1","BOTW",0.477554562731308,0.939957924527629
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus schoenobaenus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus scirpaceus_A113_P1","IUCN",0.10901200804284,0.396480950745168
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus scirpaceus_A113_P1","BOTW",0.10901200804284,0.396480950745168
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acrocephalus scirpaceus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Actitis hypoleucos_A113_P1","IUCN",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Actitis hypoleucos_A113_P1","BOTW",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Actitis hypoleucos_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Alauda arvensis_A113_P1","IUCN",0.525803674346076,0.943789911698024
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Alauda arvensis_A113_P1","BOTW",0.525803674346076,0.943789911698024
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Alauda arvensis_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Anthus pratensis_A113_P1","IUCN",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Anthus pratensis_A113_P1","BOTW",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Anthus pratensis_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Anthus trivialis_A113_P1","BOTW",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Anthus trivialis_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Apus apus_A113_P1","IUCN",0.46291799134402,0.932234396309944
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Apus apus_A113_P1","BOTW",0.46291799134402,0.932234396309944
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Apus apus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Buteo buteo_A113_P1","IUCN",0.333536852141957,0.824476519033227
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Buteo buteo_A113_P1","BOTW",0.333536852141957,0.824476519033227
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Buteo buteo_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Calcarius lapponicus_A113_P1","IUCN",1.10559119511124,1.31882597537773
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Calcarius lapponicus_A113_P1","BOTW",1.10559119511124,1.31882597537773
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Calcarius lapponicus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Linaria cannabina_A113_P1","BOTW",0.111977836164544,0.552156150591259
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Linaria cannabina_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Chloris chloris_A113_P1","BOTW",0.506326732768391,0.955166002961872
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Chloris chloris_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acanthis flammea_A113_P1","BOTW",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Acanthis flammea_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Spinus spinus_A113_P1","BOTW",0.517166967281971,0.934484522766025
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Spinus spinus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Carpodacus erythrinus_A113_P1","IUCN",0.289470681906499,0.748706282064444
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Carpodacus erythrinus_A113_P1","BOTW",0.289470681906499,0.748706282064444
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Carpodacus erythrinus_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Certhia familiaris_A113_P1","BOTW",0.27074108589675,0.78064658928112
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Certhia familiaris_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Columba oenas_A113_P1","BOTW",0.113903417729378,0.549080192533988
"A113_P1","map_25km_gVelLat",0.492596560168929,0.965094555055737,"Columba oenas_A113_P1","GBIF occurrence",0.490271643101793,0.965173318205697
