species	code	wingl	taill	tarsusl	tarsusw	tarsusd	tarsus csa	billl	bill_2	billd	billw	notch	Kipp	bowA1	tailg	bristle	dispersal-natal-gm	dispersal.SD	migration3c	mean.mass.BTO	Main.food	other.foods	summerwinterfood	feeding.breadth	foraging	btohabitat	open/closed	wet/dry
Cyanistes.caeruleus	Par cae	62.44	49.19	16.09	1.05	1.58	1.31	9.15	6.33	4.5	4.31	21.78	13.24	49.2	0.88	5	0.796	15.2	1	10.92	insects	seeds	insects|seeds	2	foliage glean	woodland	c	d
Parus.major	Par maj	73.83	60.73	20.51	1.25	2.01	1.98	13.03	9.27	5.25	5.85	26.19	13.48	60.35	4.31	6	0.797	17.9	1	18.605	insects	seeds	insects|seeds	2	foliage glean	woodland	c	d
Sitta.europaea	Sit eur	81.71	43.25	18.05	1.33	1.8	1.88	21.12	13.86	4.67	5.31	27.43	19.88	61.84	-0.19	6	1.803	8.8	1	22.11	insects	seeds	insects|seeds	2	bark glean	woodland	c	d
Garrulus.glandarius	Gar gla	177.63	144.63	39.67	2.73	4.58	9.8	32.43	19.79	12.05	11.15	59.75	35	142.63	9.5	13	0.702	6.3	1	168	omnivore		omnivore	3	foliage glean	woodland	c	d
Pica.pica	Pic pic	188.79	238.38	46.03	3.16	5.28	13.14	40.01	25.26	13.35	12.41	65.69	42.63	146.16	115.38	12	1.033	18.2	1	219.85	omnivore		omnivore	3	ground glean		o	d
Corvus.monedula	Cor mon	234.13	125.63	42.99	3.25	5.48	14.01	35.93	22.69	13.85	12.17	74.13	89.63	144.5	8.19	12	2.127	11.6	1	233.65	omnivore		omnivore	3	ground glean	farmland	o	d
Corvus.frugilegus	Cor fru	295.13	156.75	49.86	4.11	6.91	22.29	58.98	37.4	17.89	15.14	107.06	116.38	178.75	15	12	1.964	13	1	455.15	insects	seeds	omnivore	2	probes	farmland	o	d
Corvus.corone	corcor	317.38	176.88	53.35	4.78	7.6	28.63	56.87	35.96	18.03	15.68	123.83	117.94	199.44	18.63	13	3.24	12.8	1	508.7	omnivore		omnivore	3	ground glean		o	d
Corvus.corax	Cor cor	402.56	218.88	60.33	6.29	10.09	50.28	77.88	46.16	26.81	21.79	140.75	176.375	247	42.17	16.5	25.835	37.6	1	1200	omnivore		omnivore	3	ground glean	upland	o	d
Sturnus.vulgaris	Stu vul	127.88	61.23	28.04	1.95	3.48	5.34	28.5	17.48	7.08	7.66	19.38	48.19	79.69	-1.75	2	1.1	28.1	1	84.725	insects	fruit	insects	2	ground glean	farmland	o	d
Passer.domesticus	Pas dom	73.91	54.75	18.06	1.28	2.29	2.29	14.74	8.92	7.96	7.63	17.51	19.81	54.1	-1.06	4.5	0.206	6.9	1	27.32	insects	seeds	insects|seeds	2	ground glean	urban	c	d
Passer.montanus	Pas mon	67.79	50.94	16.15	1.27	2.07	2.07	12.88	7.97	6.76	6.43	17.61	17.48	50.31	1.06	4	0.717	17.5	1	21.475	insects	seeds	insects|seeds	2	ground glean	farmland	o	d
Fringilla.coelebs	Fri coe	82.28	61.99	17.09	1.08	1.77	1.5	15.23	9.53	6.94	6.5	24.19	22.25	60.03	-3.25	6	0.787	5.6	1	21.75	insects	seeds	insects|seeds	2	ground glean	woodland	c	d
Carduelis.chloris	Car chl	83.13	52.54	17.23	1.2	2.06	1.94	16.53	10.34	9.64	8.73	22.2	28.15	54.98	-5.69	5	0.954	6.4	1	27.675	insects	seeds	insects|seeds	2	ground glean	farmland	c	d
Carduelis.carduelis	Car car	76.81	48.36	14.48	0.99	1.73	1.35	15.48	10.54	6.8	5.79	18.65	25.38	51.44	-3.13	3.5	1.663	18.2	3	15.71	insects	seeds	insects|seeds	2	foliage glean	farmland	c	d
Carduelis.cannabina	Car can	78.98	53.18	15.36	0.97	1.75	1.34	12.58	7.73	6.93	6.28	17.76	27.84	51.14	-6.24	3.7	0.694	8.8	3	18.78	insects	seeds	insects|seeds	2	ground glean	farmland	o	d
Carduelis.flammea	Car fla	70.11	51.03	13.68	0.91	1.61	1.14	11.85	7.1	6.26	5.34	16.49	23.58	46.54	-9.41	4	2.139	31	2	11.045	insects	seeds	insects|seeds	2	foliage glean	woodland	o	d
Pyrrhula.pyrrhula	Pyr pyr	80.48	62.68	16.56	1.02	1.91	1.52	13.64	7.87	8.62	9.21	19.98	19.86	60.61	-0.63	4.7	0.852	9.8	1	22.57	seeds	fruit	seeds	2	foliage glean	woodland	c	d
Emberiza.citrinella	Emb cit	85.13	72.04	18.88	1.12	2.11	1.86	13.29	7.79	6.19	7.01	22.59	21.76	63.36	-4.68	3.5	2.026	13.8	1	25.82	insects	seeds	insects	2	ground glean	farmland	o	d
Emberiza.schoeniclus	Emb sch	74.27	64.32	19	1.03	1.75	1.41	11.77	6.98	4.98	4.79	19.33	15.45	58.82	-4.16	4	0.952	13.1	1	19.04	seeds	insects	seeds	2	ground glean	farmland	c	w
